Sample_ID,Survey,Synoptic,Date,Time,DateTime,Sampler,Site,Theme,Flow_presence,Flow_state,Depth_CM,pH_UNIT,EC_US_CM,Temp_DEG_C,DO_PPM,DO_PCT,Canopy_PCT,DOC_PPM,TC_PPM,DIC_PPM,Cl_PPM,Br_PPM,NO3_PPM,PO4_PPM,SO4_PPM,NH4_PPB,NO3_PPB,SRP_PPB,TP_PPB,MnOES_PPM,AlOES_PPM,FeOES_PPM,CaOES_PPM,MgOES_PPM,SiOES_PPM,POES_PPM,NaOES_PPM,KOES_PPM,Be_PPB,Na_PPB,Al_PPB,Si_PPB,K_PPB,V_PPB,Cr_PPB,Mn_PPB,Fe_PPB,Co_PPB,Ni_PPB,Cu_PPB,Zn_PPB,As_PPB,Se_PPB,Sr_PPB,Y_PPB,Mo_PPB,Ag_PPB,Cd_PPB,Sn_PPB,Sb_PPB,Ba_PPB,La_PPB,Pr_PPB,Ce_PPB,Nd_PPB,Sm_PPB,Eu_PPB,Tb_PPB,Gd_PPB,Dy_PPB,Ho_PPB,Er_PPB,Tm_PPB,Yb_PPB,Lu_PPB,Tl_PPB,Pb_PPB,Th_PPB,U_PPB,Ti_PPB,W_PPB,Ca_PPB,Mg_PPB
WaDE_11,April_2023,Y,4/12/23,13:13:00,4/12/23 13:13,Herndon,MCA3.1,1,Y,F,NA,7.29,191.1,15,ND,ND,ND,0.76,ND,ND,5.26,<DL,2.43,<DL,5.4,2.252,363.812,18.107,27.811,<DL,<DL,<DL,26.6,8.74,ND,<DL,<DL,<DL,0.005497689,2934.321999,1.722515582,3532.776661,825.2095218,0.112784714,0.066682328,5.39422751,5.050291686,0.04662386,0.372633579,0.116878393,1.591453257,0.063127871,0.074477834,33.88035901,0.028408143,0.031012525,0.020945674,0.00375127,<DL,<DL,19.13434687,0.02187754,0.006601345,0.02392678,0.031234474,0.01071208,0.00469264,0.00065607,0.006338908,0.004474279,0.001024471,0.003192804,0.000419369,0.003453053,0.00064041,0.004907979,0.005689099,<DL,0.109590121,ND,ND,26600,8740
WaDE_12,April_2023,Y,4/12/23,13:37:00,4/12/23 13:37,Herndon,MCA2,1,Y,F,NA,8.49,175.3,18.05,ND,ND,ND,1.04,ND,ND,4,<DL,2.08,<DL,3.21,5.219,278.714,24.95,43.358,<DL,<DL,<DL,25.68,8.2,ND,<DL,<DL,<DL,0.016176677,1729.391986,4.089374796,4974.487192,822.5497362,0.363993244,0.067437968,0.555379998,4.509035149,0.030989341,0.075620889,0.161307004,1.888096915,0.155120395,0.109043272,26.85168607,0.025948954,0.139956071,0.012507363,0.01400005,0.092593655,0.028643543,17.58191446,0.021241573,0.013888683,0.023730093,0.024230835,0.01815978,0.014003207,0.010570602,0.013058336,0.012906982,0.010510557,0.011918828,0.010281555,0.012608122,0.009727067,0.014592623,0.027138746,0.013009991,0.159171507,ND,ND,25680,8200
WaDE_13,April_2023,Y,4/12/23,13:57:00,4/12/23 13:57,Herndon,MCA1,1,Y,F,NA,7.56,307.3,15.41,ND,ND,ND,0.7,ND,ND,4.75,<DL,4.52,<DL,4.87,4.268,1206.3,27.39,39.808,<DL,<DL,<DL,54.03,9.71,ND,<DL,<DL,<DL,0.004401041,2733.07302,1.052319022,4914.393833,917.8890252,0.208197809,0.114423059,7.138202128,9.371772286,0.044175284,0.072466109,0.163785755,0.784406312,0.118412152,0.192772866,57.13736296,0.041891303,0.10358537,<DL,0.003909574,0.016631526,0.02024632,17.20426753,0.017421602,0.005238819,0.014154662,0.022565607,0.009933602,0.005206274,0.001425663,0.006281047,0.005670563,0.001553937,0.004294746,0.001212816,0.004331928,0.001367813,0.006494594,<DL,0.001446456,0.197270302,ND,ND,54030,9710
WaDE_14,April_2023,Y,4/12/23,14:36:00,4/12/23 14:36,Herndon,Tuskegee_BO,1,Y,F,NA,7.67,91.65,15.94,ND,ND,ND,9.58,ND,ND,1.88,<DL,<DL,<DL,7.97,2.234,9.819,18.357,36.264,<DL,<DL,<DL,11.47,4.67,ND,<DL,<DL,<DL,0.009475563,1535.947556,3.548611508,5540.334974,1798.87374,0.958009338,2.423003689,1.793191516,6.914192532,0.027431245,0.157882272,0.301668601,1.948379744,0.531685802,0.142720103,17.51883247,0.018363497,0.032824179,<DL,0.00480576,0.746109743,0.011018653,9.297312002,0.015799828,0.005194184,0.026646925,0.023638778,0.008163608,0.002281178,0.000276499,0.005215519,0.003632317,0.000228498,0.001571194,<DL,0.001157188,<DL,0.003377521,0.020347892,0.00150401,0.004793178,ND,ND,11470,4670
WaDE_15,April_2023,Y,4/12/23,14:54:00,4/12/23 14:54,Herndon,Tuskegee_BP,1,Y,F,NA,8.36,186,17.27,ND,ND,ND,1.1,ND,ND,2.23,<DL,<DL,<DL,10.28,3.33,9.622,40.423,58.264,<DL,<DL,<DL,30.15,6.56,ND,<DL,5.8,2.198,0.004472902,5697.141731,6.124965888,7465.863657,2340.635026,0.227609797,0.46577382,10.59915954,15.66656703,0.10292831,0.408791106,0.181014162,1.135181931,0.210310941,0.120623542,59.25685287,0.026326352,0.125288101,<DL,0.001724418,<DL,0.009877208,27.07177289,0.010053659,0.003383197,0.020348011,0.016465384,0.010471079,0.005852491,<DL,0.003809912,0.003502194,0.000346338,0.001954156,<DL,0.001618265,<DL,0.005047414,<DL,0.001518418,0.205802912,ND,ND,30150,6560
WaDE_16,April_2023,Y,4/12/23,15:21:00,4/12/23 15:21,Herndon,Tuskegee_BP_trib,1,Y,F,NA,7.01,32.02,17.13,ND,ND,ND,1.43,ND,ND,1.79,<DL,<DL,<DL,5.03,2.786,4.049,8.667,51.316,<DL,<DL,<DL,2.34,1.73,ND,<DL,<DL,<DL,0.012825582,1047.497083,9.957697457,5203.748776,1185.335974,0.039911867,0.028749411,4.089259873,23.37896056,0.103360691,0.752868313,0.209680528,1.737758882,0.098123836,0.044770199,7.719740774,0.106316897,0.043462253,<DL,0.002498979,<DL,0.011973807,11.48999744,0.084799424,0.034844212,0.197312418,0.15985573,0.042892708,0.009331108,0.004153607,0.036942272,0.026145046,0.004090466,0.012423003,0.001206927,0.010665967,0.00114791,0.002926977,0.040348906,0.007721918,0.008275914,ND,ND,2340,1730
WaDE_17,April_2023,Y,4/12/23,15:52:00,4/12/23 15:52,Herndon,MTN4,1,Y,F,NA,7.63,147.4,15.79,ND,ND,ND,0.57,ND,ND,3.42,<DL,2.53,<DL,3.78,4.627,397.562,27.937,66.886,<DL,<DL,<DL,17.17,8.96,ND,<DL,<DL,<DL,0.006260302,1607.42215,2.237399537,4898.702003,942.2279187,0.162555495,0.167453097,0.651676122,1.836403255,0.039383091,0.136348176,0.062905282,2.393166329,0.089460178,0.180296419,15.4102803,0.023313922,0.094126194,<DL,0.00498777,<DL,0.012498788,28.31497496,0.019285192,0.006464766,0.0175284,0.032596736,0.015014358,0.007208249,0.000645435,0.007167307,0.006184028,0.000637882,0.00338283,0.000322233,0.004813697,0.000431331,0.016412047,0.00676604,<DL,0.135374254,ND,ND,17170,8960
WaDE_25,April_2023,Y,4/12/23,10:15:00,4/12/23 10:15,Kurz,EFK2.0,3,Y,F,NA,7.93,285.7,13.25,ND,ND,ND,1.68,ND,ND,11.63,<DL,13.77,3.23,15.35,5.996,3606.87,447.06,360,<DL,<DL,<DL,50.59,10.7,ND,<DL,10.653,2.791,<DL,10562.97379,4.557772241,2056.568828,2907.784082,0.386777467,0.253744551,14.50992832,17.39270913,0.066499129,0.426055835,0.971534501,7.500920538,0.29772354,0.189239816,80.96559252,0.02202631,3.183432407,<DL,0.021576112,<DL,0.076875734,33.48710066,0.011138162,0.00299952,0.022173225,0.014592963,0.013007964,0.007039799,0.000208922,0.032933157,0.00259474,0.000103641,0.002217582,<DL,0.002702456,8.62845E-05,0.006142083,0.016922038,0.000425981,4.86283586,ND,ND,50590,10700
WaDE_26,April_2023,Y,4/12/23,10:40:00,4/12/23 10:40,Kurz,Bear Creek,3,Y,F,NA,8.11,232.9,12.66,ND,ND,ND,1.16,ND,ND,5.61,<DL,2.58,<DL,15.12,5.21,409.12,26.661,105,<DL,<DL,<DL,41,12.61,ND,<DL,4.75,<DL,<DL,4433.890877,2.257041267,5395.940267,1463.725966,0.166159598,0.165695405,27.33837544,20.53951714,0.047988472,0.21104067,0.142329431,1.775722439,0.17976465,0.115171556,80.77656824,0.025450019,0.267474714,<DL,0.00310591,<DL,0.019124438,45.07354525,0.00837621,0.002057225,0.016744162,0.013378761,0.015348918,0.008993551,<DL,0.002868027,0.002916446,6.98309E-05,0.001297981,<DL,0.001700088,<DL,0.004176244,<DL,<DL,10.00973725,ND,ND,41000,12610
WaDE_27,April_2023,Y,4/12/23,11:10:00,4/12/23 11:10,Kurz,EFK5.4,3,Y,F,NA,8.08,313.5,14.34,ND,ND,ND,2.05,ND,ND,14.35,<DL,18.6,3.65,15.35,4.722,6474.48,639.19,557,<DL,<DL,<DL,53.39,11.13,ND,<DL,14.163,3.472,<DL,13659.24349,3.484298181,1881.892115,3924.907545,0.433879883,7.554963294,11.81090141,261.6384205,0.17781215,2.444698447,1.260934831,530.2728126,0.338641877,0.192534794,80.40891067,0.083900407,2.746438872,<DL,0.025505681,0.009390956,0.099965523,13789.68265,0.080278172,0.001753528,<DL,0.005763132,3.337039726,2.235118151,<DL,0.052322567,0.002682,0.00020176,0.002212067,2.85464E-05,0.003192621,0.000258494,0.006129863,0.022085243,0.003135035,3.546200098,ND,ND,53390,11130
WaDE_28,April_2023,Y,4/12/23,11:40:00,4/12/23 11:40,Kurz,EFK7.9,3,Y,F,NA,8.03,320.1,14.3,ND,ND,ND,2.07,ND,ND,16.13,<DL,23.46,3.91,16.99,10.366,7308.64,757.76,616,<DL,<DL,<DL,53.36,11.41,ND,<DL,14.745,4.029,<DL,14534.17371,4.026809375,2360.293655,4054.80712,0.383172802,0.316884007,9.281759448,18.54552666,0.06585656,0.563139426,1.122545374,9.777844406,0.282404979,0.215588221,83.70658397,0.01980461,3.108582054,<DL,0.017435798,0.01261797,0.099205965,32.79137529,0.006173161,0.001508564,0.009274332,0.009537208,0.011277134,0.006519009,<DL,0.0518761,0.002150314,4.90519E-05,0.001827435,<DL,0.002744157,<DL,0.005548927,0.015940899,<DL,3.306751418,ND,ND,53360,11410
WaDE_29,April_2023,Y,4/12/23,12:05:00,4/12/23 12:05,Kurz,EFK10.0,3,Y,F,NA,8.03,330.3,14.35,ND,ND,ND,1.97,ND,ND,15.84,<DL,21.83,3.77,17.98,10.674,6808.82,713.85,541,<DL,<DL,<DL,54.63,12.23,ND,<DL,14.165,<DL,<DL,14246.79429,2.42836127,2402.129119,3854.333996,0.368378849,0.204698085,7.306988056,17.64479769,0.061293009,0.957920447,1.070573416,9.256745337,0.274724682,0.171113516,88.51692622,0.02080001,3.999969694,<DL,0.021428696,0.012795601,0.105768548,34.4125416,0.00679707,0.001539507,0.009633036,0.009171797,0.012364686,0.0067901,<DL,0.057286845,0.002390645,5.74836E-05,0.001897535,<DL,0.00280886,<DL,0.004624829,0.019249991,<DL,4.395155674,ND,ND,54630,12230
WaDE_30,April_2023,Y,4/12/23,12:15:00,4/12/23 12:15,Kurz,Gum Hollow,3,Y,F,NA,8.11,163.6,13.44,ND,ND,ND,0.87,ND,ND,2.42,<DL,<DL,<DL,9.58,3.897,26.989,24.789,49.961,<DL,<DL,<DL,34.09,5.83,ND,<DL,<DL,<DL,0.005453055,2016.674158,22.76897163,5698.670894,1525.545478,0.124726549,0.379238615,19.72503084,26.78262031,0.062548123,0.893791573,0.098819095,1.325457821,0.15077195,<DL,51.16030737,0.030192259,0.17187809,<DL,0.002045735,<DL,0.015826638,23.32008526,0.007224776,0.001904569,0.0108954,0.011120857,0.008505118,0.004852232,<DL,0.004078025,0.00305431,0.000119207,0.001623765,<DL,0.0016663,<DL,0.00640159,<DL,<DL,0.128777245,ND,ND,34090,5830
WaDE_31,April_2023,Y,4/12/23,12:44:00,4/12/23 12:44,Kurz,EFK11.3,3,Y,F,NA,8.2,360.1,15.23,ND,ND,ND,2.19,ND,ND,18.51,<DL,26.71,4.16,20.93,8.486,8014.7,873.17,832,<DL,<DL,<DL,57.16,12.05,ND,<DL,16.869,4.232,<DL,16952.18806,3.236447518,2394.629904,4434.130501,0.37392757,0.329694883,7.219144101,17.8284557,0.064746289,0.493678459,1.221542839,11.81220194,0.277292736,0.224587579,97.02350678,0.020983969,4.694530837,<DL,0.019611996,0.021171255,0.11803974,30.70554775,0.006893289,0.001482399,0.012310517,0.009296816,0.010185229,0.006033215,<DL,0.08172504,0.002122081,<DL,0.001625746,<DL,0.003011288,<DL,0.004324336,0.03575695,<DL,5.117132569,ND,ND,57160,12050
WaDE_32,April_2023,Y,4/12/23,13:00:00,4/12/23 13:00,Kurz,EFK13.8,3,Y,F,NA,8.29,315.8,15.14,ND,ND,ND,1.22,ND,ND,10.19,<DL,4.38,<DL,20.86,12.577,1123.59,26.065,47.804,<DL,<DL,<DL,55.48,12.05,ND,<DL,8.767,1.633,<DL,9033.020287,14.65403889,2628.480988,2040.885466,0.379992348,0.251426243,11.70596216,12.2574059,0.03934221,0.191476067,2.432970762,2.386998347,0.262497551,0.259211629,102.2228179,0.026669883,6.739041359,<DL,0.019495354,<DL,0.058307107,37.70975364,0.008073629,0.001952592,0.012421632,0.015613397,0.013399319,0.007366114,<DL,0.003257341,0.002684224,6.35836E-05,0.002342294,<DL,0.002959472,0.000112351,0.005482101,<DL,0.000429466,7.203766062,ND,ND,55480,12050
WaDE_33,April_2023,Y,4/12/23,13:30:00,4/12/23 13:30,Kurz,Mill Branch,3,Y,F,NA,8.09,169.4,14.33,ND,ND,ND,1.03,ND,ND,2.46,<DL,1.1,<DL,9.77,5.178,26.589,34.822,53.976,<DL,<DL,<DL,32.5,6.26,ND,<DL,<DL,1.79,<DL,2660.147597,3.648361515,6604.354184,2039.283974,0.117927379,0.188199367,11.57195429,14.19636904,0.038010482,0.208174819,0.116722531,1.636524243,0.168362636,0.075736006,56.11502484,0.013547502,0.459630637,<DL,<DL,<DL,0.019761767,25.50369931,0.005194542,0.001423561,0.009352587,0.008678531,0.008776058,0.004465191,<DL,0.001635767,0.001356297,<DL,0.000553567,<DL,0.000333917,<DL,0.00481879,<DL,<DL,0.186612768,ND,ND,32500,6260
WaDE_34,April_2023,Y,4/12/23,13:55:00,4/12/23 13:55,Kurz,EFK16.2,3,Y,F,NA,8.1,349.2,15.24,ND,ND,ND,1.22,ND,ND,12.83,<DL,5.9,<DL,24.75,10.614,1575.09,29.517,70.189,<DL,<DL,<DL,62.25,14.24,ND,<DL,11.249,1.815,<DL,11095.40663,5.572223588,2714.652385,2145.284747,0.415090182,0.317849648,19.44262865,14.78978713,0.04767189,0.194796695,1.083414161,3.039850107,0.285351015,0.41285835,112.6383364,0.027760541,8.799914154,<DL,0.026056545,<DL,0.063202841,42.54621947,0.008233421,0.002016956,0.013541442,0.011225607,0.014639993,0.008346273,<DL,0.003197351,0.003030264,0.000124063,0.002167822,<DL,0.003341306,6.33266E-05,0.005230914,<DL,<DL,8.945401938,ND,ND,62250,14240
WaDE_35,April_2023,Y,4/12/23,14:10:00,4/12/23 14:10,Kurz,EFK18.2,3,Y,F,NA,7.99,259.1,15.94,ND,ND,ND,1.11,ND,ND,13.09,<DL,6.8,<DL,25.61,10.785,1898.98,38.914,80.262,<DL,<DL,<DL,59.63,14.72,ND,<DL,11.103,1.846,<DL,11264.39762,8.661630719,3148.148853,2169.285427,0.426689084,0.390161277,12.44700865,15.41659408,0.043695971,0.222384477,1.121869253,3.58785503,0.261727878,0.381517832,116.1026386,0.035721398,11.7920473,<DL,0.035960622,<DL,0.064478683,43.12060275,0.012716203,0.003274264,0.023951927,0.016320552,0.01632638,0.009403599,<DL,0.003700063,0.003826853,0.000460422,0.003236485,<DL,0.003586674,0.000218807,0.005573909,<DL,0.000545804,8.913014373,ND,ND,59630,14720
WaDE_36,April_2023,Y,4/12/23,14:50:00,4/12/23 14:50,Kurz,EFK20,3,Y,F,NA,8.26,392.6,17.58,ND,ND,ND,1.33,ND,ND,15.66,<DL,6.98,<DL,34.03,11.05,1978.85,50.944,139,<DL,<DL,<DL,61.93,15.22,ND,<DL,13.617,2.393,<DL,14253.34252,14.63332825,3438.752069,2608.393116,0.490582054,0.361754648,21.61927543,40.10045791,0.04848732,0.203349028,1.695351023,4.677652191,0.337100393,0.53845942,140.3944776,0.041608816,17.65491915,<DL,0.057561203,<DL,0.065408534,48.30161805,0.013335764,0.003708867,0.023829204,0.019479309,0.017627064,0.010014445,0.000168942,0.005679092,0.003872072,0.000552372,0.003365399,<DL,0.003792905,0.000190172,0.005400773,<DL,0.001385753,11.35195903,ND,ND,61930,15220
WaDE_37,April_2023,Y,4/12/23,15:15:00,4/12/23 15:15,Kurz,Downtown,3,Y,F,NA,8.29,330.4,19.35,ND,ND,ND,0.91,ND,ND,7.55,<DL,4.79,<DL,7.57,11.356,1201.75,21.723,47.247,<DL,<DL,<DL,57.14,13.73,ND,<DL,4.886,<DL,<DL,4968.241923,5.316787831,3566.705673,1180.981436,0.364324743,0.291908657,5.990981874,6.964932573,0.033906752,0.084272051,0.428300139,3.157384743,0.134883365,0.221069724,63.86980763,0.029947612,0.243581538,<DL,0.003614644,<DL,0.056748753,49.4698751,0.010292545,0.002232938,0.013752945,0.011923831,0.016371698,0.009744832,<DL,0.002578826,0.002959436,0.000226048,0.002253756,<DL,0.003491046,0.00015495,0.005113546,<DL,<DL,0.252551296,ND,ND,57140,13730
WaDE_38,April_2023,Y,4/12/23,15:30:00,4/12/23 15:30,Kurz,EFK23.4,3,Y,F,NA,8.89,421.8,21.48,ND,ND,ND,1.59,ND,ND,22.22,<DL,11.7,<DL,31.26,15.044,3266.57,58.31,173,<DL,<DL,<DL,56.04,14.58,ND,<DL,18.768,2.036,<DL,19982.95064,53.95957502,2566.704775,2544.449522,0.578932711,0.546270191,8.085705261,23.19095517,0.056769257,0.240946009,3.06751455,12.57265584,0.318363799,0.742429358,119.4980131,0.046626201,24.68615334,<DL,0.203986304,<DL,0.081275569,48.51192325,0.012083695,0.003928397,0.018004184,0.021234705,0.019285626,0.010456428,0.000358686,0.00697672,0.005112046,0.000612914,0.003904067,8.35812E-05,0.004050748,0.000156798,0.006420336,0.008239022,0.000651855,17.57629833,ND,ND,56040,14580
