state,orig_label,map_sym1,map_sym2,UNIT_LINK,prov_no,province,unit_name,unit_age,unitdesc,strat_unit,unit_com,map_ref,rocktype1,rocktype2,rocktype3,unit_ref,map_symb2
TN  ,Cc,CAc,CAc;11,TNCAc;11,11,Valley and Ridge and Unaka Mountains,"Conasauga Group, including Maynardville Limestone, Nolichucky Shale, the Maryville, Rogersville, and Rutledge Formations, Pumpkin Valley Shale, Rome Formation, and Shady Dolomite",Cambrian,"Conasauga Group - Mostly shale northwest of a line connecting Etowah and Bearden (Knoxville); to the east it consists of the six formations at right [Cmn, Maynardville Limestone. Ccl including Cn, Nolichucky Shale, Cmr Maryville, Rogersville, and Rutledge Formations, and Pumpkin Valley Shale; Cr, Rome Formation, and Cs, Shady Dolomite. Thickness about 2,000 feet. ",,East-Central sheet,TN001,shale,limestone,dolostone (dolomite); sandstone; siltstone,TN001 TN002 TN003 ,
TN  ,Cc,CAc,CAc;13,TNCAc;13,13,Northwestern Valley and Ridge,Conasauga Group,Cambrian,"Conasauga Group - Mostly shale northwest of a line connecting Knoxville and Tazewell; dominantly dolomite with minor shale southeast of a line from Newport to Kingsport; between these lines it consists of six formations. Thickness about 2,000 feet. ",,East sheet,TN001,shale,dolostone (dolomite),,TN001 TN002 ,
TN  ,Cc,CAc,CAc;14,TNCAc;14,14,Southeastern Valley and Ridge and Unaka Mountains,"Conasauga Group, includes Maynardville Limestone, Nolichucky Shale, Honaker Dolomite, Maryville Limestone, Rogersville Shale, Rutledge Limestone, Pumpkin Valley Shale, Rome Formation, Shady Dolomite",Cambrian,"Conasauga Group, includes Maynardville Limestone, Nolichucky Shale, Honaker Dolomite, Maryville Limestone, Rogersville Shale, Rutledge Limestone, Pumpkin Valley Shale, Rome Formation, Shady Dolomite",,East sheet,TN001,limestone,shale,dolostone (dolomite); sandstone,TN001 TN002 TN003 ,
TN  ,Ccc,CAcc,CAcc;14,TNCAcc;14,14,Southeastern Valley and Ridge and Unaka Mountains,Conococheague Limestone,Ordovician,"Conococheague Limestone - Well-bedded, ribboned (silt and dolomite), dark-gray limestone; interbeds of fine-grained, light- to dark-gray dolomite; sparingly cherty; cryptozoans typical. Thickness about 1,500 feet.",,East sheet,TN001,limestone,dolostone (dolomite),,TN001 TN002 ,
TN  ,Cch,CAch,CAch;11,TNCAch;11,11,Valley and Ridge and Unaka Mountains,Chilhowee Group; Cochran Conglomerate,Cambrian,"Chilhowee Gourp; Cochran Conglomerate - Quartz-pebble conglomerate, gray pebbly arkose, siltstone and shale; irregular bedding, scour features, crossbedding common; maroon micaceous arkose and shale near middle and base. Thickness about 1,200 feet.",,East-Central sheet,TN001,conglomerate,arkose,sandstone; siltstone; shale,TN001 TN002 TN003 ,
TN  ,Cch,CAch,CAch;14,TNCAch;14,14,Southeastern Valley and Ridge and Unaka Mountains,Cochran Conglomerate,Cambrian,"Cochran Conglomerate - Quartz-pebble conglomerate, gray pebbly arkose, siltstone and shale; irregular bedding, scour features, crossbedding common; maroon micaceous arkose and shale near middle and base. Thickness about 1,200 feet.",,East sheet,TN001,conglomerate,arkose,sandstone; siltstone; shale,TN001 TN002 ,
TN  ,Cchi,CAchi,CAchi;14,TNCAchi;14,14,Southeastern Valley and Ridge and Unaka Mountains,"Chilhowee Group, including Erwin Formation, Hesse Sandstone, Murray Shale, Nebo Sandstone, Nichols Shale, Cochran Conglomerate, Hampton Formation, and Unicoi Formation",Cambrian,"Chilhowee Group - Conformable sequence of dominantly clastic sediments. Thickness 3,000 to 7,500 feet; including Erwin Formation - White, vitreous quartzite, massive, with interbeds of dark-green silty and sandy shale, minor siltstone, and very fine-grained sandstone. Thickness 1,000 to 1,500 feet; Hesse Sandstone - White, vitreous quartzite, medium- to coarse-grained, occurs in massive ledges; Helenmode Member at top is gray to greenish sandstone and shale. Thickness about 600 feet; Murray Shale - Shale, silty, sandy, dull-green to brown, micaceous. Thickness about 500 feet; Nebo Sandstone - Medium-bedded, fine-grained, white, vitreous quartzite, in part feldspathic. Thickness 250 feet; Nichols Shale - Olive-gray to green, silty and sandy, micaceous shale and siltstone; local lenses of fine-grained feldspathic quartzite. Thickness about 700 feet; Cochran Conglomerate - Quartz-pebble conglomerate, gray pebbly arkose, siltstone and shale; irregular bedding, scour features, crossbedding common; maroon micaceous arkose and shale near middle and base. Thickness about 1,200 feet; Hampton Formation - Dark greenish-gray, silty and sandy, micaceous shale; numerous layers of medium-grained, feldspathic, thinly bedded sandstone. Thickness 500 to 2,000 feet; Unicoi Formation - Sequence of gray feldspathic sandstone, arkose, conglomerate, graywacke, siltstone and shale; greenish amygdaloidal basalt flows near middle and base. Thickness 2,000 to 5,000 feet. ",,East sheet,TN001,shale,quartzite,siltstone; sandstone; arkose; conglomerate; basalt,TN001 TN002 ,
TN  ,Ccl,CAcl,CAcl;11,TNCAcl;11,11,Valley and Ridge and Unaka Mountains,"Nolichucky Shale, and Maryville, Rogersville, and Rutledge Formations, and Pumpkin Valley Shale",Cambrian,"(Cn) Nolichucky Shale - Pastel-colored (pink, greenish, olive), flaky clay shale; gray, commonly oolitic, shaly limestone lenses; locally stromatolitic limestone layers; thin, blocky siltstone near middle. Thickness 500 feet in the east to 900 feet in the west.; (Cmr)	Maryville, Rogersville, and Rutledge Formations - Maryvile and Rutledge are gray limestone, in part oolitic, with gray dolomite locally. Rogersville is green clay shale. Thickness 400 to 1,000 feet. Pumpkin Valley Shale - Dull-brown to maroon shale with numerous interbeds of thin, blocky, sandy siltstone. Thickness 100 to 600 feet. ",,East-Central sheet,TN001,shale,limestone,dolostone (dolomite); siltstone,TN001 TN002 ,
TN  ,Ccl,CAcl,CAcl;14,TNCAcl;14,14,Southeastern Valley and Ridge and Unaka Mountains,"Maynardville Limestone, Nolichucky Shale, Honaker Dolomite, Maryville Limestone, Rogersville Shale, Rutledge Limestone, Pumpkin Valley Shale",Cambrian,"Maynardville Limestone - Thick-bedded, bluish-gray, ribboned (silt and dolomite) nodular limestone; light-gray, fine-grained, laminated to thinly bedded, noncherty dolomite in upper part. Thickness 150 to 400 feet; Nolichucky Shale - Pastel-colored (pink, greenish, olive), flaky clay shale; gray, commonly oolitic, shaly limestone lenses; locally stromatolitic limestone layers; thin, blocky siltstone near middle. Thickness 100 feet in the east to 900 feet in the west; Honaker Dolomite - Dark-gray, medium-bedded dolomite with minor dark limestone beds; locally cherty; cryptozoans abundant in places. Thickness about 1,500 feet; Maryville Limestone - Gray, ribboned (silt and dolomite), fine-grained, evenly bedded limestone; intraformational conglomerate and oolitic layers common; clay shale and light-gray dolomite locally. Thickness 300 to 800 feet; Rogersville Shale	 - Light-green, fissile clay shale; in places limestone (Craig Member) in upper part. Commonly 25 to 80 feet thick; maximum thickness 250 feet; Rutledge Limestone - Medium- to dark-gray, ribboned (silt and dolomite), medium-grained, well-bedded limestone; locally dark-gray, coarse-grained, medium-bedded dolomite in upper part. Thickness 100 to 500 feet; Pumpkin Valley Shale - Dull-brown to maroon shale with numerous interbeds of thin, blocky, and sandy siltstone. Thickness 100 to 600 feet. ",,East sheet,TN001,limestone,dolostone (dolomite); ,shale; conglomerate; siltstone,TN001 TN002 ,
TN  ,Cpv,CApv,CApv;14,TNCApv;14,14,Southeastern Valley and Ridge and Unaka Mountains,Pumpkin Valley Shale,Cambrian,"Pumpkin Valley Shale - Dull-brown to maroon shale with numerous interbeds of thin, blocky, and sandy siltstone. Thickness 100 to 600 feet.",,East sheet,TN001,shale,siltstone,,TN001 TN002 ,
TN  ,Ccu,CAcu,CAcu;14,TNCAcu;14,14,Southeastern Valley and Ridge and Unaka Mountains,"Maynardville Limestone, Nolichucky Shale, and Honaker Dolomite",Cambrian,"Maynardville Limestone - Thick-bedded, bluish-gray, ribboned (silt and dolomite) nodular limestone; light-gray, fine-grained, laminated to thinly bedded, noncherty dolomite in upper part. Thickness 150 to 400 feet; Nolichucky Shale - Pastel-colored (pink, greenish, olive), flaky clay shale; gray, commonly oolitic, shaly limestone lenses; locally stromatolitic limestone layers; thin, blocky siltstone near middle. Thickness 100 feet in the east to 900 feet in the west; Honaker Dolomite - Dark-gray, medium-bedded dolomite with minor dark limestone beds; locally cherty; cryptozoans abundant in places. Thickness about 1,500 feet. ",,East sheet,TN001,dolostone (dolomite),shale,limestone; siltstone,TN001 TN002 ,
TN  ,Ce,CAe,CAe;14,TNCAe;14,14,Southeastern Valley and Ridge and Unaka Mountains,Erwin Formation,Cambrian,"Erwin Formation - White, vitreous quartzite, massive, with interbeds of dark-green silty and sandy shale, minor siltstone, and very fine-grained sandstone. Thickness 1,000 to 1,500 feet.",,East sheet,TN001,quartzite,shale,siltstone; sandstone,TN001 TN002 ,
TN  ,Ch,CAh,CAh;14,TNCAh;14,14,Southeastern Valley and Ridge and Unaka Mountains,Hampton Formation,Cambrian,"Hampton Formation - Dark greenish-gray, silty and sandy, micaceous shale; numerous layers of medium-grained, feldspathic, thinly bedded sandstone. Thickness 500 to 2,000 feet.",,East sheet,TN001,shale,sandstone,,TN001 TN002 ,
TN  ,Che,CAhe,CAhe;11,TNCAhe;11,11,Valley and Ridge and Unaka Mountains,Chilhowee Group; Hesse Sandstone,Cambrian,"Chilhowee Group; Hesse Sandstone - White, vitreous quartzite, medium- to coarse-grained, occurs in massive ledges; Helenmode Member at top is gray to greenish sandstone and shale. Thickness about 600 feet.",,East-Central sheet,TN001,quartzite,sandstone,shale,TN001 TN002 ,
TN  ,Che,CAhe,CAhe;14,TNCAhe;14,14,Southeastern Valley and Ridge and Unaka Mountains,Hesse Sandstone,Cambrian,"Hesse Sandstone - White, vitreous quartzite, medium- to coarse-grained, occurs in massive ledges; Helenmode Member at top is gray to greenish sandstone and shale. Thickness about 600 feet.",,East sheet,TN001,quartzite,sandstone,shale,TN001 TN002 ,
TN  ,Chk,CAhk,CAhk;14,TNCAhk;14,14,Southeastern Valley and Ridge and Unaka Mountains,Honaker Dolomite,Cambrian,"Honaker Dolomite - Dark-gray, medium-bedded dolomite with minor dark limestone beds; locally cherty; cryptozoans abundant in places. Thickness about 1,500 feet.",,East sheet,TN001,dolostone (dolomite),limestone,,TN001 TN002 ,
TN  ,Cm,CAm,CAm;14,TNCAm;14,14,Southeastern Valley and Ridge and Unaka Mountains,Maryville Limestone,Cambrian,"Maryville Limestone - Gray, ribboned (silt and dolomite), fine-grained, evenly bedded limestone; intraformational conglomerate and oolitic layers common; clay shale and light-gray dolomite locally. Thickness 300 to 800 feet.",,East sheet,TN001,limestone,conglomerate,dolostone (dololmite),TN001 TN002 ,
TN  ,Cmn,CAmn,CAmn;11,TNCAmn;11,11,Valley and Ridge and Unaka Mountains,Maynardville Limestone,Cambrian,"Maynardville Limestone - Thick-bedded, bluish-gray, ribboned (silt and dolomite), nodular limestone; light-gray, fine- grained, laminated to thin-bedded, noncherty dolomite in upper part. Thickness 150 to 400 feet.",,East-Central sheet,TN001,limestone,dolostone (dolomite),,TN001 TN002 ,
TN  ,Cmn,CAmn,CAmn;14,TNCAmn;14,14,Southeastern Valley and Ridge and Unaka Mountains,Maynardville Limestone,Cambrian,"Maynardville Limestone - Thick-bedded, bluish-gray, ribboned (silt and dolomite) nodular limestone; light-gray, fine-grained, laminated to thinly bedded, noncherty dolomite in upper part. Thickness 150 to 400 feet.",,East sheet,TN001,limestone,dolostone (dolomite),,TN001 TN002 ,
TN  ,Cmr,CAmr,CAmr;11,TNCAmr;11,11,Valley and Ridge and Unaka Mountains,"Maryville, Rogersville, and Rutledge Formations",Cambrian,"Maryville, Rogersville, and Rutledge Formations - Maryville and Rutledge are gray limestone, in part oolitic, with gray dolomite locally. Rogersville is green clay shale. Thickness 400 to 1,000 feet. ",,East-Central sheet,TN001,limestone,shale,dolostone (dolomite),TN001 TN002 ,
TN  ,Cmr,CAmr,CAmr;14,TNCAmr;14,14,Southeastern Valley and Ridge and Unaka Mountains,"Maryville Limestone, Rogersville Shale, Rutledge Limestone",Cambrian,"Maryville Limestone	- Gray, ribboned (silt and dolomite), fine-grained, evenly bedded limestone; intraformational conglomerate and oolitic layers common; clay shale and light-gray dolomite locally. Thickness 300 to 800 feet; Rogersville Shale - Light-green, fissile clay shale; in places limestone (Craig Member) in upper part. Commonly 25 to 80 feet thick; maximum thickness 250 feet; Rutledge Limestone - Medium- to dark-gray, ribboned (silt and dolomite), medium-grained, well-bedded limestone; locally dark-gray, coarse-grained, medium-bedded dolomite in upper part. Thickness 100 to 500 feet. ",,East sheet,TN001,limestone,shale,dolostone (dolomite); conglomerate,TN001 TN002 ,
TN  ,Cn,CAn,CAn;11,TNCAn;11,11,Valley and Ridge and Unaka Mountains,Nolichucky Shale,Cambrian,"Nolichucky Shale - Pastel-colored (pink, greenish, olive), flaky clay shale; gray, commonly oolitic, shaly limestone lenses; locally stromatolitic limestone layers; thin, blocky siltstone near middle. Thickness 500 feet in the east to 900 feet in the west.",,East-Central sheet,TN001,shale,limestone,siltstone,TN001 TN002 ,
TN  ,Cn,CAn,CAn;14,TNCAn;14,14,Southeastern Valley and Ridge and Unaka Mountains,Nolichucky Shale,Cambrian,"Nolichucky Shale - Pastel-colored (pink, greenish, olive), flaky clay shale; gray, commonly oolitic, shaly limestone lenses; locally stromatolitic limestone layers; thin, blocky siltstone near middle. Thickness 100 feet in the east to 900 feet in the west.",,East sheet,TN001,shale,limestone,siltstone,TN001 TN002 ,
TN  ,Cnb,CAnb,CAnb;11,TNCAnb;11,11,Valley and Ridge and Unaka Mountains,Chilhowee Group; Nebo Sandstone,Cambrian,"Chilhowee Group; Nebo Sandstone - Medium-bedded, fine-grained, white vitreous quartzite, in part feldspathic. Thickness 250 feet.",,East-Central sheet,TN001,quartzite,,,TN001 TN002 ,
TN  ,Cnb,CAnb,CAnb;14,TNCAnb;14,14,Southeastern Valley and Ridge and Unaka Mountains,Nebo Sandstone,Cambrian,"Nebo Sandstone - Medium-bedded, fine-grained, white, vitreous quartzite, in part feldspathic. Thickness 250 feet.",,East sheet,TN001,quartzite,,,TN001 TN002 ,
TN  ,Cni,CAni,CAni;11,TNCAni;11,11,Valley and Ridge and Unaka Mountains,Nichols Shale,Cambrian,"Chilhowee Group; Nichols Shale - Olive-gray to green, silty and sandy, micaceous shale and siltstone; local lenses of fine-grained feldspathic quartzite. Thickness about 700 feet.",,East-Central sheet,TN001,shale,siltstone,quartzite,TN001 TN002 ,
TN  ,Cni,CAni,CAni;14,TNCAni;14,14,Southeastern Valley and Ridge and Unaka Mountains,Nichols Shale,Cambrian,"Nichols Shale - Olive-gray to green, silty and sandy, micaceous shale and siltstone; local lenses of fine-grained feldspathic quartzite. Thickness about 700 feet.",,East sheet,TN001,shale,siltstone,quartzite,TN001 TN002 ,
TN  ,Cr,CAr,CAr;11,TNCAr;11,11,Valley and Ridge and Unaka Mountains,Rome Formation,Cambrian,"Rome Formation - Variegated (red, green, yellow) shale and siltstone with beds of gray, fine-grained sandstone. Maximum exposed thickness 1,500 feet.",,East-Central sheet,TN001,shale,siltstone,sandstone,TN001 TN002 ,
TN  ,Cr,CAr,CAr;14,TNCAr;14,14,Southeastern Valley and Ridge and Unaka Mountains,Rome Formation,Cambrian,"Rome Foundation - Variegated (red, green, yellow) shale and siltstone; gray, fine-grained sandstone in middle and west part of Valley and Ridge; abundant limestone and dolomite in east. Thickness about 2,000 feet.",,East sheet,TN001,shale,siltstone,sandstone; limestone; dolostone (dolomite),TN001 TN002 ,
TN  ,Crg,CArg,CArg;14,TNCArg;14,14,Southeastern Valley and Ridge and Unaka Mountains,Rogersville Shale,Cambrian,"Rogersville Shale - Light-green, fissile clay shale; in places limestone (Craig Member) in upper part. Commonly 25 to 80 feet thick; maximum thickness 250 feet.",,East sheet,TN001,shale,limestone,,TN001 TN002 ,
TN  ,Crt,CArt,CArt;14,TNCArt;14,14,Southeastern Valley and Ridge and Unaka Mountains,Rutledge Limestone,Cambrian,"Rutledge Limestone - Medium- to dark-gray, ribboned (silt and dolomite), medium-grained, well-bedded limestone; locally dark-gray, coarse-grained, medium-bedded dolomite in upper part. Thickness 100 to 500 feet.",,East sheet,TN001,limestone,dolostone (dolomite),,TN001 TN002 ,
TN  ,Cs,CAs,CAs;11,TNCAs;11,11,Valley and Ridge and Unaka Mountains,Shady Dolomite,Cambrian,"Shady Dolomite - Light-gray dolomite and thinly bedded limestone with much shaly gray limestone and calcareous gray shale. Thickness about 1,000 feet.",,East-Central sheet,TN001,dolostone (dolomite),limestone,shale,TN001 TN002 ,
TN  ,Cs,CAs,CAs;14,TNCAs;14,14,Southeastern Valley and Ridge and Unaka Mountains,Shady Dolomite,Cambrian,"Shady Dolomite - Light-gray, well-bedded dolomite with thin- to medium-bedded gray limestone; yellowish-brown residual clays with ""jasperoid"" diagnostic. Thickness about 1,000 feet.",,East sheet,TN001,dolostone (dolomite),limestone,clay or mud,TN001 TN002 ,
TN  ,Cu,CAu,CAu;14,TNCAu;14,14,Southeastern Valley and Ridge and Unaka Mountains,Unicoi Formation,Cambrian,"Unicoi Formation - Sequence of gray feldspathic sandstone, arkose, conglomerate, graywacke, siltstone and shale; greenish amygdaloidal basalt flows near middle and base. Thickness 2,000 to 5,000 feet.",,East sheet,TN001,sandstone,arkose,conglomerate; graywacke; siltstone; shale; basalt,TN001 TN002 ,
TN  ,D,D,D;2,TND;2,2,Western Valley of Tennessee River,"Devonian Formations, includes Pegram Formation, Camden Formation, Harriman Formation, Flat Gap Limestone, and Ross Formation",Devonian,"Devonian Formations	 - Characterized by marked north-south facies variations. Because of pre-Chattanooga and/or pre-Cretaceous warping and erosion, the distribution and thickness of Devonian formations is very irregular. Includes Pegram Formation - Thick-bedded, gray limestone and gray sandstone. Thickness 0 to 15 feet; Camden Formation - Light-gray novaculitic chert and tripolitic clay; and minor siliceous limestone. Thickness 0 to about 100 feet; Harriman Formation - Light-gray novaculitic chert and tripolitic clay; and minor siliceous limestone. (Harriman and Camden are differentiated paleontologically.) Thickness 0 to 50 feet; Flat Gap Limestone - Thick-bedded, coarse-grained limestone, gray with red and brown grains. Thickness 0 to 55 feet; Ross Formation - Siliceous limestone; gray and variegated shale; and medium-grained glauconitic limestone. Thickness 0 to 75 feet. ",,West sheet,TN001,limestone,chert,clay or mud; shale; sandstone,TN001 TN002 ,
TN  ,D,D,D;4,TND;4,4,Central Basin and Western Valley of Tenneessee River,"Devonian Formations, including Pegram Formation, Camden Formation, Harriman Formation, Flat Gap Limestone, and Ross Formation",Devonian,"Devonian Formations - Characterized by marked north-south facies variations and by very irregular distribution. Individual formations are not uniform in thickness and have been truncated by pre-Chattanooga erosion; includes Pegram Formation - Thick-bedded, gray limestone and gray sandstone. Thickness 0 to 30 feet; Camden Formation - Light-gray novaculitic chert and tripolitic clay; and minor siliceous limestone. Thickness 0 to about 100 feet; Harriman Formation - Light-gray novaculitic chert and tripolitic clay; and minor siliceous limestone. (Harriman and Camden are differentiated paleontologically.) Thickness 0 to 50 feet; Flat Gap Limestone - Thick-bedded, coarse-grained limestone, gray with red and brown grains. Thickness 0 to 13 feet; Ross Formation - Siliceous limestone; gray and variegated shale; and medium-grained glauconitic limestone. Thickness 0 to 75 feet. ",,West-Central sheet,TN001,limestone,chert,clay or mud; shale; sandstone,TN001 TN002 ,
TN  ,DSs,DSs,DSs;12,TNDSs;12,12,"Cumberland Plateau, Valley and Ridge, and Unaka Mountains",Sneedville Limestone,Devonian to Silurian,"Sneedville Limestone - Gray silty limestone and dolomite, minor shale, and fine-grained, greenish-gray sandstone; fossils locally abundant. Thickness 100 to 300 feet.",,East sheet,TN001,limestone,dolostone (dolomite),shale; sandstone,TN001 TN002 ,
TN  ,ig,ig,ig;11,TNig;11,11,Valley and Ridge and Unaka Mountains,Intrusive igneous rocks,Paleozoic (?),"Intrusive Igneous Rocks - Metadiorite and metagabbro in Polk County, intrude Great Smoky Group.",,East-Central sheet,TN001,diorite,gabbro,,TN001 TN002 ,
TN  ,ig,ig,ig;15,TNig;15,15,Unaka Mountains,Intrusive igneous rocks,Precambrian,"Intrusive Igneous Rocks - Mica peridotite plugs (two in Union County), intrude Sneedville Limestone; metadiorite and metagabbro sills and dikes in Sevier County, intrude Great Smoky Group.",,East sheet,TN001,peridotite,diorite,gabbro,TN001 TN002 TN003 ,
TN  ,Kc,Kc,Kc;1,TNKc;1,1,Gulf Coastal Plain,Coffee Sand,Cretaceous,"Coffee Sand - Loose fine-grained sand, light-gray, sparsely glauconitic, locally interbedded with laminated lignitic clay. Thickness 25 to 200 feet; thins northward.",,West sheet,TN001,sand,clay or mud,,TN001 TN002 ,
TN  ,Kc,Kc,Kc;3,TNKc;3,3,Highland Rim and Cumberland Plateau,Coffee Sand,Cretaceous,"Coffee Sand - Loose fine-grained sand, light-gray, sparsely glauconitic; locally interbedded with laminated lignitic clay. Maximum preserved thickness about 40 feet.",,West-Central sheet,TN001,sand,clay or mud,,TN001 TN002 ,
TN  ,Kcc,Kcc,Kcc;1,TNKcc;1,1,Gulf Coastal Plain,Coon Creek Formation,Cretaceous,"Coon Creek Formation - Fossiliferous, micaceous sand, silty and glauconitic; locally fossiliferous sandy clay at base. Siderite concretions common in upper part. Thickness about 140 feet.",,West sheet,TN001,sand,clay or mud,,TN001 TN002 ,
TN  ,Ke,Ke,Ke;1,TNKe;1,1,Gulf Coastal Plain,Eutaw Formation,Cretaceous,"Eutaw Formation - Grayish-green sand, fine-grained, glauconitic, micaceous; interbedded with gray laminated clays which commonly contain carbonized or silicified wood. (Mapped with Coffee except in Hardin County and southeastern Decatur County.) Thickness 0 to 180 feet; thins northward",,West sheet,TN001,sand,clay or mud,,TN001 TN002 ,
TN  ,Ke,Ke,Ke;3,TNKe;3,3,Highland Rim and Cumberland Plateau,Eutaw Formation,Cretaceous,"Eutaw Formation - Grayish-green sand, fine-grained, glauconitic, micaceous; interbedded with gray laminated clays which commonly contain carbonized or silicified wood. Maximum preserved thickness 80 feet; absent to the north.",,West-Central sheet,TN001,sand,clay or mud,,TN001 TN002 ,
TN  ,Km,Km,Km;1,TNKm;1,1,Gulf Coastal Plain,McNairy Sand,Cretaceous,"McNairy Sand	 - Predominantly sand, in places interbedded with silty light-gray clays. Fine-grained sand at base, locally contains heavy minerals. Thickness about 300 feet.",,West sheet,TN001,sand,clay or mud,,TN001 TN002 ,
TN  ,Ko,Ko,Ko;1,TNKo;1,1,Gulf Coastal Plain,Owl Creek Formation,Cretaceous,"Owl Creek Formation	 - Sandy clay, greenish gray, glauconitic, fossiliferous; merges northward into unfossiliferous clays and sands. Thickness 0 to about 40 feet.",,West sheet,TN001,clay or mud,sand,,TN001 TN002 ,
TN  ,Ks,Ks,Ks;1,TNKs;1,1,Gulf Coastal Plain,Sardis Formation,Cretaceous,"Sardis Formation - Quartz sand and glauconite sand, argillaceous and locally fossiliferous. (Mapped with Kcc north of Beech River.) Maximum thickness 70 feet.",,West sheet,TN001,sand,,,TN001 TN002 ,
TN  ,Kt,Kt,Kt;1,TNKt;1,1,Gulf Coastal Plain,Tuscaloosa Formation,Cretaceous,"Tuscaloosa Formation - Poorly sorted, light-gray chert gravel in a matrix of silt and sand; locally interbedded with sand and clay lenses. Thickness 0 to 140 feet.",,West sheet,TN001,gravel,silt,sand; clay or mud,TN001 TN002 ,
TN  ,Kt,Kt,Kt;3,TNKt;3,3,Highland Rim and Cumberland Plateau,Tuscaloosa Formation,Cretaceous,"Tuscaloosa Formation	 - Poorly sorted, light-gray chert gravel in a matrix of silt and sand; locally interbedded with sand and clay lenses. Thickness 0 to 150 feet.",,West-Central sheet,TN001,gravel,silt,sand; clay or mud,TN001 TN002 ,
TN  ,Mbh,Mbh,Mbh;3,TNMbh;3,3,Highland Rim and Cumberland Plateau,Bangor Limestone and Hartselle Formation,Mississippian,"Bangor Limestone - Dark brownish-gray limestone, thick-bedded. Thickness 100 to 250 feet; and Hartselle Formation	- Thin-bedded, fine-grained sandstone and greenish-gray shale interbedded with coarse limestone. Thickness 0 to 60 feet. ",,West-Central sheet,TN001,limestone,sandstone,shale,TN001 TN002 ,
TN  ,Mbh,Mbh,Mbh;8,TNMbh;8,8,"Cumberland Plateau, Highland Rim, and Central Basin",Bangor Limestone and Hartselle Formation,Mississippian,"Bangor Limestone - Dark brownish-gray limestone, thick-bedded. Thickness 70 to 400 feet., and Hartselle Formation - Thin-bedded, fine-grained sandstone interbedded with gray shale; with oolitic and coarse-grained limestone beds locally. Thickness 0 to 80 feet. ",,East-Central sheet,TN001,limestone,sandstone,shale,TN001 TN002 ,
